"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION ORIENTADA A OBJETOS","Moreno Díaz, Ana Belén","2025-09-01","2315014-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2315_2315014_belen.moreno (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Moreno Díaz, Ana Belén","2025-09-01","2117014-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2117_2117014_belen.moreno (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Moreno Díaz, Ana Belén","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_belen.moreno (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Moreno Díaz, Ana Belén","2025-09-01","2097018-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2097_2097018_belen.moreno (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Moreno Díaz, Ana Belén","2025-09-01","2321009-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2321_2321009_belen.moreno (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Moreno Díaz, Ana Belén","2025-09-01","2175007-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2175_2175007_belen.moreno (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Moreno Díaz, Ana Belén","2025-09-01","2033012-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2033_2033012_belen.moreno (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Moreno Díaz, Ana Belén","2025-09-01","2285010-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2285_2285010_belen.moreno (Universidad Rey Juan Carlos)"
"MATEMATICA DISCRETA","Moreno Díaz, Ana Belén","2025-09-01","2175003-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). MATEMATICA DISCRETA. Universdiad Rey Juan Carlos","2025-26_2175_2175003_belen.moreno (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Moreno Díaz, Ana Belén","2025-09-01","2061008-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno Díaz, Ana Belén (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2061_2061008_belen.moreno (Universidad Rey Juan Carlos)"
